County,White,Black,Asian,AIAN,NHPI,Hispanic
"Jersey County, Illinois",49,0,0,0,0,0
"Jo Daviess County, Illinois",29,0,0,0,0,0
"Johnson County, Illinois",31,0,0,0,0,0
"Kane County, Illinois",1405,308,156,6,11,3921
"Kankakee County, Illinois",648,322,6,0,0,296
"Kendall County, Illinois",354,102,21,0,0,418
"Knox County, Illinois",103,63,0,0,0,20
"Lake County, Illinois",2859,864,299,17,21,4866
"LaSalle County, Illinois",206,21,0,0,0,55
"Lawrence County, Illinois",22,0,0,0,0,0
"Lee County, Illinois",63,0,0,0,0,0
"Livingston County, Illinois",52,0,0,0,0,0
"Logan County, Illinois",41,0,0,0,0,0
"Macon County, Illinois",145,112,6,0,0,10
"Macoupin County, Illinois",66,0,0,0,0,0
"Madison County, Illinois",751,278,7,0,-,138
"Marion County, Illinois",80,10,0,0,0,0
"Marshall County, Illinois",14,0,0,0,0,0
"Mason County, Illinois",36,0,0,0,0,0
"Massac County, Illinois",13,0,0,0,0,0
"McDonough County, Illinois",84,25,0,0,0,0
"McHenry County, Illinois.  ",1308,52,82,0,6,856
"McLean County, Illinois",262,83,7,1,-,52
"Menard County, Illinois",31,0,0,0,0,0
"Mercer County, Illinois",27,0,0,0,0,0
"Monroe County, Illinois",125,0,0,0,0,8
"Montgomery County, Illinois",63,0,0,0,0,0
"Morgan County, Illinois",94,16,0,0,0,11
"Moultrie County, Illinois",28,0,0,0,0,0
"Ogle County, Illinois",85,0,0,0,0,79
"Peoria County, Illinois",396,218,12,-,-,-
"Perry County, Illinois",50,0,0,0,0,10
"Piatt County, Illinois.  ",28,0,0,0,0,0
"Pulaski County, Illinois",16,16,0,0,0,46
"Randolph County, Illinois",234,13,0,0,0,95
"Richland County, Illinois",8,0,0,0,0,0
"Rock Island County, Illinois",427,208,62,0,0,257
"Saline County, Illinois",34,0,0,0,0,0
"Sangamon County, Illinois.   ",418,153,8,0,0,12
"Schuyler County, Illinois",8,6,0,0,0,0
"Shelby County, Illinois",23,0,0,0,0,0
"St. Clair County, Illinois",566,1284,12,0,0,193
"Stark County, Illinois",6,0,0,0,0,0
"Stephenson County, Illinois",65,25,0,0,0,56
"Tazewell County, Illinois",179,7,0,0,0,7
"Union County, Illinois",166,0,0,0,0,43
"Vermilion County, Illinois",86,25,0,0,0,13
"Wabash County, Illinois",12,0,0,0,0,10
"Warren County, Illinois",54,7,14,0,0,63
"Washington County, Illinois",30,0,0,0,0,0
"Wayne County, Illinois",26,0,0,0,0,0
"White County, Illinois",28,0,0,0,0,0
"Whiteside County, Illinois    ",152,7,0,0,0,48
"Will County, Illinois    ",1940,1209,206,6,9,1835
"Williamson County, Illinois",99,12,0,0,0,0
"Winnebago County, Illinois",1103,852,77,0,0,904
"Woodford County, Illinois",36,0,0,0,0,0
"Adams County, Mississippi",105,280,4,0,-,24
"Alcorn County, Mississippi",78,14,0,1,-,2
"Amite County, Mississippi",74,54,0,0,-,1
"Attala County, Mississippi",146,226,0,4,-,5
"Benton County, Mississippi",15,29,0,0,-,6
"Bolivar County, Mississippi",96,380,1,7,-,4
"Calhoun County, Mississippi",86,75,1,0,-,23
"Carroll County, Mississippi",119,83,0,3,-,1
"Chickasaw County, Mississippi",65,200,0,1,-,19
"Choctaw County, Mississippi",34,43,0,0,-,0
"Claiborne County, Mississippi",22,222,1,1,-,0
"Clarke County, Mississippi",114,117,1,0,-,2
"Clay County, Mississippi",36,234,0,0,-,2
"Coahoma County, Mississippi",69,276,0,0,-,9
"Copiah County, Mississippi",100,445,1,2,-,45
"Covington County, Mississippi",206,173,0,0,-,13
"DeSoto County, Mississippi",724,712,16,4,-,197
"Forrest County, Mississippi",421,424,6,0,-,114
"Franklin County, Mississippi",34,36,0,1,-,1
"George County, Mississippi",142,8,2,0,-,6
"Greene County, Mississippi",100,36,0,0,-,0
"Grenada County, Mississippi",197,425,0,20,-,2
"Hancock County, Mississippi",141,34,1,0,-,8
"Harrison County, Mississippi",724,474,19,5,-,89
"Hinds County, Mississippi",423,2541,12,5,-,82
"Holmes County, Mississippi",44,581,0,4,-,2
"Humphreys County, Mississippi",16,167,1,0,-,1
"Issaquena County, Mississippi",0,4,0,0,-,0
"Itawamba County, Mississippi",163,15,0,0,-,2
"Jackson County, Mississippi",354,225,19,3,-,55
"Jasper County, Mississippi",61,178,1,0,-,0
"Jefferson County, Mississippi",2,105,0,0,-,1
"Jefferson Davis County, Mississippi",33,91,0,2,-,1
"Jones County, Mississippi",462,427,3,10,-,199
"Kemper County, Mississippi",32,110,0,11,-,2
"Lafayette County, Mississippi",171,113,1,0,-,17
"Lamar County, Mississippi",291,144,0,0,-,46
"Lauderdale County, Mississippi",332,570,7,5,-,10
"Lawrence County, Mississippi",61,101,1,0,-,1
"Leake County, Mississippi",115,232,0,55,-,84
"Lee County, Mississippi",303,247,3,1,-,29
"Leflore County, Mississippi",72,401,1,1,-,3
"Lincoln County, Mississippi",310,175,0,0,-,6
"Lowndes County, Mississippi",135,348,2,0,-,4
"Madison County, Mississippi",440,909,11,3,0,131
"Marion County, Mississippi",224,129,1,1,0,8
"Marshall County, Mississippi",70,195,1,1,0,20
"Monroe County, Mississippi",225,224,1,1,0,0
"Montgomery County, Mississippi",92,110,0,15,0,1
"Neshoba County, Mississippi",198,173,2,662,0,6
"Newton County, Mississippi",111,154,0,128,0,3
"Noxubee County, Mississippi",42,225,0,0,0,0
"Oktibbeha County, Mississippi",193,388,0,1,0,4
"Panola County, Mississippi",86,386,0,0,0,2
"Pearl River County, Mississippi",229,79,0,2,0,5
"Perry County, Mississippi",64,25,0,1,0,0
"Pike County, Mississippi",235,331,2,1,0,1
"Pontotoc County, Mississippi",164,79,1,0,0,85
"Prentiss County, Mississippi",119,39,0,2,0,0
"Quitman County, Mississippi",4,101,0,0,-,0
"Rankin County, Mississippi",702,406,8,5,-,71
"Scott County, Mississippi",217,351,0,12,-,212
"Sharkey County, Mississippi",9,19,0,1,-,0
"Simpson County, Mississippi",242,180,0,2,-,3
"Smith County, Mississippi",199,79,0,0,-,2
"Stone County, Mississippi",57,31,0,0,-,1
"Sunflower County, Mississippi",69,464,1,1,-,0
"Tallahatchie County, Mississippi",37,229,0,0,-,3
"Tate County, Mississippi",170,193,0,1,-,8
"Tippah County, Mississippi",90,46,0,0,-,18
"Tishomingo County, Mississippi",120,5,0,0,-,1
"Tunica County, Mississippi",15,79,0,1,-,0
"Union County, Mississippi",150,69,0,3,-,24
"Walthall County, Mississippi",171,127,1,0,-,1
"Warren County, Mississippi",200,409,3,4,-,1
"Washington County, Mississippi",106,666,1,3,-,0
"Wayne County, Mississippi",111,389,0,0,-,5
"Webster County, Mississippi",77,51,0,1,-,0
"Wilkinson County, Mississippi",13,98,0,2,-,1
"Winston County, Mississippi",94,205,0,7,-,3
"Yalobusha County, Mississippi",67,121,0,0,-,2
"Yazoo County, Mississippi",104,343,2,3,-,37
"Boone County, Missouri",636,166,17,-,-,-
"Clay County, Missouri",366,53,8,4,23,40
"Cole County, Missouri",151,22,-,-,-,-
"Jackson County, Missouri",220,653,159,76,620,1632
"Jefferson County, Missouri",-,-,-,-,-,-
"Kansas City, Missouri",887,1311,219,5,33,721
"St. Louis City, Missouri",911,1930,57,8,-,2272
"St. Louis County, Missouri",,,,,,
"Tulsa County, Oklahoma",1962,406,"1,029",161,13,"1,519"
"Douglas County, Kansas",349,28,9,14,-,38
"Johnson County, Kansas",2209,190,76,-,-,648
"Lyon County, Kansas",189,7,19,-,-,345
"Sedgwick County, Kansas","1,478",217,-,-,-,617
"Shawnee County, Kansas",869,131,-,-,-,405
"Wyandotte County, Kansas",2043,463,434,13,5,1362
"Black Hawk County, Iowa","2,011",826,376,-,73,542
"Linn County, Iowa","1,131",321,52,7,20,70
"Douglas County, Nebraska",2460,808,997,-,-,4006
"Lancaster/Lincoln Counties, Nebraska","1,162",181,452,25,-,603
"Adams County, Colorado",-,-,-,-,-,-
"Arapahoe County, Colorado",-,-,-,-,-,-
"Denver County, Colorado","2,482",805,294,59,42,"4,461"
"Douglas County, Colorado",-,-,-,-,-,-
"Garfield County, Colorado",-,-,-,-,-,331
"Jefferson County, Colorado","1,874",43,74,13,10,852
"Pitkin County, Colorado",151,-,14,-,-,36
"Summit County, Colorado",133,6,-,-,-,177
"Bell County, Texas",611,300,16,2,11,2
"Brazos County, Texas",177,80,-,-,-,362
"Chambers County, Texas",391,44,6,4,1,175
"Denton County, Texas",1843,604,293,10,-,1664
"El Paso County, Texas",278,79,40,40,0,3612
"Fort Bend County, Texas",1559,1739,899,-,-,1679
"Galveston County, Texas",2428,1073,106,21,8,2590
"Harris & Houston County, Texas",8200,6900,1100,23,1100,14500
"Lubbock County, Texas",1644,228,23,-,23,1626
"Tarrant County, Texas",3842,2612,519,0,519,7087
"Taylor County, Texas",-,-,-,-,-,-
"Travis County, Texas",-,-,-,-,-,-
"Wichita County, Texas",-,-,-,-,-,-
"Apache County, Arizona",2011,220,75,-,-,1172
,,,,,,
"Cochise County, Arizona",-,-,-,-,-,-
"Coconino County, Arizona",488,32,19,1396,19,199
"Gila County, Arizona",86,1,1,75,1,30
"Graham County, Arizona",56,3,0,16,0,14
"Greenlee County, Arizona",3,0,0,0,0,7
"La Paz County, Arizona",39,1,0,152,0,64
"Maricopa County, Arizona",16196,2549,861,2716,861,19269
"Mohave County, Arizona",662,8,9,146,146,185
"Navajo County, Arizona",249,9,0,2493,0,95
"Pima County, Arizona",2425,264,92,360,92,4023
"Pinal County, Arizona",1053,166,45,395,45,1294
"Santa Cruz County, Arizona",324,2,0,0,0,1426
"Yavapai County, Arizona",389,9,3,48,3,115
"Yuma County, Arizona",991,56,29,92,-,"6,071"
"Blaine County, Idaho",-,-,-,-,-,95
"Camas County, Idaho",-,-,-,-,-,0
"Cassia County, Idaho",-,-,-,-,-,189
"Gooding County, Idaho",-,-,-,-,-,46
"Jerome County, Idaho",-,-,-,-,-,175
"Kootenai County, Idaho",-,-,-,-,-,-
"Lincoln County, Idaho",-,-,-,-,-,-
"Minidoka County, Idaho",-,-,-,-,-,-
"Twin Falls County, Idaho",-,-,-,-,-,-
"Clark County, Nevada","5,487","2,038","1,650",32,-,"7,842"
"Washoe County, Nevada","1,292",98,138,65,70,"1,693"
"Salt Lake County, Utah","10,543",565,524,134,832,"7,697"
"Clackamas County, Oregon",428,81,69,12,23,416
"Lane County, Oregon",218,9,6,5,-,109
"Marion County, Oregon","1,670",26,45,26,21,947
"Multnomah County, Oregon","1,345",255,218,36,73,"1,309"
"Washington County, Oregon",843,159,137,23,46,820
"Yamhill County, Oregon",91,17,15,2,5,79
"Benton/Franklin Counties, Washington",-,-,-,-,-,-
"Chelan/Douglas County, Washington",-,-,-,-,-,919
"King County, Washington",3916,1158,1109,62,275,2636
"Kitsap County, Washington",82,4,8,2,6,18
"Pierce County, Washington",283,598,296,600,1186,761
"Skagit County, Washington",183,-,-,-,-,383
"Spokane County, Washington",1473,70,45,39,426,148
"Thurston County, Washington",401,40,25,5,0,139
"Whatcom County, Washington",520,-,24,47,-,205
"Yakima County, Washington",1266,32,32,268,19,3260
"Alameda County, California",969,662,964,23,51,4726
"Contra Costa County, California",1200,368,392,-,-,2284
"Fresno County, California",1010,156,249,-,-,4860
"Kern County, California",1065,260,204,-,-,4511
"Los Angeles County, California",11636,4250,4922,140,514,47038
"Marin County, California",271,13,49,2,3,1165
"Mendocino County, California",37,-,-,13,-,122
"Monterey County, California",117,19,32,-,-,2539
"Napa County, California",120,-,-,-,-,332
"Orange County, California",4672,248,1364,31,87,7434
"Riverside County, California",3000,3886,2992,3402,8374,6937
"Sacramento County, California",1564,646,514,22,99,1667
"San Benito County, California",-,-,-,-,-,-
"San Bernardino County, California",6557,964,533,79,100,8368
"San Diego County, California",4848,880,1135,58,162,11430
"San Francisco County, California",856,290,577,22,55,2637
"San Joaquin County, California",1015,266,491,-,50,2663
"San Mateo County, California",639,47,500,3,61,2212
"Santa Clara County, California",1006,148,912,-,55,3562
"Santa Cruz County, California",317,-,-,-,-,392
"Solano County, California",368,214,151,-,-,543
"Sonoma County, California",402,-,42,-,-,1031
"Stanislaus County, California",1171,130,195,-,-,4751
"Ventura County, California",1362,53,148,14,14,3555
"Kent County, Delaware",772,698,35,-,-,243
"New Castle County, Delaware",4509,1893,110,-,-,1382
"Sussex County, Delaware",1704,852,45,-,-,1925
"Cumberland County, Maine",115,310,5,2,3,46
"Allegany County, Maryland",-,-,-,-,-,-
"Anne Arundel County, Maryland",2221,1381,180,-,-,2221
"Baltimore city, Maryland",1236,4280,95,0,0,6182
"Carroll County, Maryland",370,30,-,-,-,64
"Howard County, Maryland",484,532,199,-,-,495
"Prince George's County, Maryland",693,5873,-,-,-,6132
"St. Mary's County, Maryland",408,280,-,-,-,61
"Chattanooga-Hamilton, Tennessee",1644,781,52,-,-,1783
"Davidson County, Tennessee","5,030","2,693",410,-,-,"3,674"
"Jackson County, Tennessee",295,254,7,-,-,33
"Knox County, Tennessee","1,520",304,22,-,16,481
"Madison County, Tennessee",295,254,7,-,-,33
"Shelby County, Tennessee",-,-,-,-,-,-
"Ocean County, New Jersey","6,090",420,221,6,13,1015
"Albany County, New York","1,022",480,189,-,-,168
"Chautauqua County, New York",-,-,-,-,-,-
"Madison County, New York",290,45,12,0,-,45
"New York City, New York","45,953","73,992","28,156",-,-,"70,377"
"Onondaga County, New York","1,616",855,254,-,-,158
"Schenectady County, New York",,149,63,8,-,106
"Tompkins County, New York",-,-,-,-,-,-
"Boone County, Kentucky",-,-,-,-,-,-
"Campbell County, Kentucky",-,-,-,-,-,-
"Grant County, Kentucky",-,-,-,-,-,-
"Jefferson County, Kentucky",-,-,-,-,-,-
"Kenton County, Kentucky",-,-,-,-,-,-
"Acadia Parish, Louisiana",,,,,,
"Allen Parish, Louisiana",,,,,,
"Ascension Parish, Louisiana",,,,,,
"Assumption Parish, Louisiana",,,,,,
"Avoyelles Parish, Louisiana",,,,,,
"Beauregard Parish, Louisiana",,,,,,
"Bienville Parish, Louisiana",,,,,,
"Bossier Parish, Louisiana",,,,,,
"Caddo Parish, Louisiana",,,,,,
"Calcasieu Parish, Louisiana",,,,,,
"Caldwell Parish, Louisiana",,,,,,
"Cameron Parish, Louisiana",,,,,,
"Catahoula Parish, Louisiana",,,,,,
"Claiborne Parish, Louisiana",,,,,,
"Concordia Parish, Louisiana",,,,,,
"De Soto Parish, Louisiana",,,,,,
"East Baton Rouge Parish, Louisiana",,,,,,
"East Carroll Parish, Louisiana",,,,,,
"East Feliciana Parish, Louisiana",,,,,,
"Evangeline Parish, Louisiana",,,,,,
"Franklin Parish, Louisiana",,,,,,
"Grant Parish, Louisiana",,,,,,
"Iberia Parish, Louisiana",,,,,,
"Iberville Parish, Louisiana",,,,,,
"Jackson Parish, Louisiana",,,,,,
"Jefferson Davis Parish, Louisiana",,,,,,
"Jefferson Parish, Louisiana",,,,,,
"Lafayette Parish, Louisiana",,,,,,
"Lafourche Parish, Louisiana",,,,,,
"LaSalle Parish, Louisiana",,,,,,
"Lincoln Parish, Louisiana",,,,,,
"Livingston Parish, Louisiana",,,,,,
"Madison Parish, Louisiana",,,,,,
"Morehouse Parish, Louisiana",,,,,,
"Natchitoches Parish, Louisiana",,,,,,
"Orleans Parish, Louisiana",,,,,,
"Ouachita Parish, Louisiana",,,,,,
"Plaquemines Parish, Louisiana",,,,,,
"Pointe Coupee Parish, Louisiana",,,,,,
"Rapides Parish, Louisiana",,,,,,
"Red River Parish, Louisiana",,,,,,
"Richland Parish, Louisiana",,,,,,
"Sabine Parish, Louisiana",,,,,,
"St. Bernard Parish, Louisiana",,,,,,
"St. Charles Parish, Louisiana",,,,,,
"St. Helena Parish, Louisiana",,,,,,
"St. James Parish, Louisiana",,,,,,
"St. John the Baptist Parish, Louisiana",,,,,,
"St. Landry Parish, Louisiana",,,,,,
"St. Martin Parish, Louisiana",,,,,,
"St. Mary Parish, Louisiana",,,,,,
"St. Tammany Parish, Louisiana",,,,,,
"Tangipahoa Parish, Louisiana",,,,,,
"Tensas Parish, Louisiana",,,,,,
"Terrebonne Parish, Louisiana",,,,,,
"Union Parish, Louisiana",,,,,,
"Vermilion Parish, Louisiana",,,,,,
"Vernon Parish, Louisiana",,,,,,
"Washington Parish, Louisiana",,,,,,
"Webster Parish, Louisiana",,,,,,
"West Baton Rouge Parish, Louisiana",,,,,,
"West Carroll Parish, Louisiana",,,,,,
"West Feliciana Parish, Louisiana",,,,,,
"Winn Parish, Lousiana",,,,,,
"Hennepin County, Minnesota",,,,,,
,,,,,,
   ,,,,,,
