County,White,Black,Asian,AIAN,NHPI,Hispanic
"Chickahominy, Virginia",363,141,5,1,-,54
"Crater, Virginia",366,896,5,4,-,149
"Cumberland Plateau, Virginia",113,13,1,0,-,1
"Eastern Shore, Virginia",178,803,8,1,-,248
"Fairfax County, Virginia",2371,926,1207,26,-,7849
"Hampton, Virginia",84,282,5,0,-,38
"Henrico County, Virginia",704,858,125,7,-,629
"Lenowisco, Virginia",100,1,1,0,-,1
"Lord Fairfax, Virginia",1274,93,7,2,-,599
"Loudoun County, Virginia",930,170,203,2,-,1223
"Mount Rogers, Virginia",662,30,2,0,-,218
"New River, Virginia",239,24,6,0,-,26
"Norfolk, Virginia",252,1062,22,3,-,207
"Peninsula, Virginia",420,456,14,2,-,229
"Piedmont, Virginia",350,381,4,1,-,61
"Pittsylvania-Danville, Virginia",112,159,0,0,-,39
"Portsmouth, Virginia",113,518,5,2,-,43
"Prince William County, Virginia",1021,749,294,15,-,4499
"Rappahannock, Virginia",636,341,47,3,-,959
"Rappahannock Rapidan, Virginia",415,98,5,1,-,677
"Richmond, Virginia",258,661,10,0,-,1011
"Roanoke County, Virginia",104,50,2,0,-,196
"Southside, Virginia",125,148,1,0,-,2
"Thomas Jefferson, Virginia",513,247,23,2,-,427
"Three Rivers, Virginia",305,246,8,1,-,135
"Virginia Beach, Virginia",92,727,92,2,-,217
"West Piedmont, Virginia",243,153,11,0,-,181
"Western Tidewater, Virginia",304,567,9,1,-,567
"Alamance County, North Carolina",1162,210,12,8,8,915
"Alexander County, North Carolina",-,-,-,-,-,39
"Alleghany County, North Carolina",-,-,-,-,-,12
"Anson County, North Carolina",-,-,-,-,-,12
"Ashe County, North Carolina",48,-,-,-,-,23
"Avery County, North Carolina",27,1,-,-,-,3
"Beaufort County, North Carolina",-,-,-,-,-,27
"Bertie County, North Carolina",61,96,-,-,-,-
"Bladen County, North Carolina",-,-,-,-,-,212
"Brunswick County, North Carolina",554,132,1,-,1,158
"Buncombe County, North Carolina",733,64,10,8,41,246
"Burke County, North Carolina",958,62,15,-,5,617
"Cabarrus County, North Carolina",864,312,27,12,3,500
"Caldwell County, North Carolina",519,39,3,-,-,162
"Carteret County, North Carolina",84,5,-,-,-,14
"Caswell County, North Carolina",-,-,-,-,-,20
"Catawba County, North Carolina",-,-,-,-,-,368
"Chatham County, North Carolina",367,95,9,-,5,467
"Cherokee County, North Carolina",-,-,-,-,-,1
"Chowan County, North Carolina",-,-,-,-,-,6
"Clay County, North Carolina",14,-,-,-,-,-
"Cleveland County, North Carolina",-,-,-,-,-,77
"Columbus County, North Carolina",-,-,-,-,-,57
"Craven County, North Carolina",223,102,163,1,-,43
"Cumberland County, North Carolina",469,703,9,16,8,222
"Currituck County, North Carolina",-,-,-,-,-,8
"Dare County, North Carolina",-,-,-,-,-,10
"Davidson County, North Carolina",496,71,7,1,8,246
"Davie County, North Carolina",135,11,-,-,-,110
"Duplin County, North Carolina",-,-,-,-,-,1062
"Durham County, North Carolina",651,865,52,12,19,2354
"Edgecombe County, North Carolina",-,-,-,-,-,108
"Forsyth County, North Carolina",1607,512,105,5,1,1423
"Franklin County, North Carolina",-,-,-,-,-,145
"Gaston County, North Carolina",1224,348,7,7,2,559
"Graham County, North Carolina",-,-,-,4,-,-
"Granville County, North Carolina",-,-,-,-,-,234
"Greene County, North Carolina",-,-,-,-,-,82
"Guilford County, North Carolina",564,611,190,5,3,265
"Halifax County, North Carolina",-,-,-,-,-,31
"Harnett County, North Carolina",478,166,2,4,1,310
"Haywood County, North Carolina",-,-,-,-,-,13
"Henderson County, North Carolina",530,18,4,-,30,204
"Hertford County, North Carolina",-,-,-,,-,12
"Hoke County, North Carolina",66,107,1,26,1,70
"Hyde County, North Carolina",32,-,-,-,-,-
"Iredell County, North Carolina",784,93,17,1,-,249
"Jackson County, North Carolina",-,-,-,-,-,33
"Johnston County, North Carolina",1261,302,5,17,5,1118
"Jones County, North Carolina",-,-,-,-,-,-
"Lee County, North Carolina",504,95,-,-,-,502
"Lenoir County, North Carolina",-,-,-,-,-,105
"Lincoln County, North Carolina",190,9,1,-,2,15
"Macon County, North Carolina",29,-,-,-,-,26
"Madison County, North Carolina",16,-,-,-,-,2
"Martin County, North Carolina",107,66,-,-,-,35
"McDowell County, North Carolina",-,-,-,-,-,169
"Mecklenburg County, North Carolina",3916,2936,244,85,19,5240
"Mitchell County, North Carolina",50,-,-,-,-,21
